Short description,Description,Caller,Assignment group
reset the password for wseacnvi azvixyqg on erp / qa / erp,please reset my password to SID_1. it's blocked. login  - jdhdw345 .,wseacnvi azvixyqg,GRP_0
i used to have acces to this location on collaboration_platform.  now i do not. i need access.,"received from: bwfhtumx.japznrvb@gmail.com



[cid:image001.jpg@01d230f7.8bb4e830]

bwfhtumx japznrvb 
regional controller
bwfhtumx.japznrvb@gmail.com<mailto:bwfhtumx.japznrvb@gmail.com>",bwfhtumx japznrvb,GRP_16
crm add-in is getting disabled from outlook,crm add-in is getting disabled from outlook,lrbjqcmh jbiwtzqr,GRP_0
outlook hangs.,outlook hangs.,rjsulvat uanigkqc,GRP_0
vpn not working.,vpn not working.,vtnkwxhr tqxrglvh,GRP_0
reset passwords for hckvpary emxbpkwy using password_management_tool password reset.,"employee is getting an error ""user authentication failed"" when trying to log into the ess portal.  she is able to access erp and is able to access the hub.  tried to reset and change her password through password_management_tool password manager but got an error  ""cannot find account [woodscf] on target [active directory].""

her user id is hdjdkt123",hckvpary emxbpkwy,GRP_17
job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 10/28/2016 07:41:00,"received from: monitoring_tool@company.com

job bkbackup_tool_sql_prod_inc failed in job_scheduler at: 10/28/2016 07:41:00",bpctwhsn kzqsbmtp,GRP_8
its password reset,its password reset,mtgujlcb kczyvpqr,GRP_0
wy123 printer,"received from: nxhwyepl.mudstbxo@gmail.com

please note some continuous erp printing is happening in printer wy123. the print is not given locally please arrange to cancel the same immediately as lot of paper is getting wasted.",nxhwyepl mudstbxo,GRP_0
update java viewer ?,"received from: uijxpazn.gvtzlphs@gmail.com

dear all,

java viewer is not working any more. i need access to view scanned inwarehouse_tools in erp.

i assume java update is required ?

[cid:image001.png@01d2311b.deaf3cb0]


best",uijxpazn gvtzlphs,GRP_0
job Job_137 failed in job_scheduler at: 10/28/2016 06:38:00,"received from: monitoring_tool@company.com

job Job_137 failed in job_scheduler at: 10/28/2016 06:38:00",bpctwhsn kzqsbmtp,GRP_5
HostName_1297 is currently experiencing high cpu utilization. please investigate!,"we are observing below alert in monitoring_tool:

HostName_1297 is currently experiencing high cpu utilization. please investigate!",jloygrwh acvztedi,GRP_14
access to bex,"received from: yfqoaepn.xnezhsit@gmail.com

hello,

till last week i was accessing bex reports using mms portal and there were no issues.

starting this week the system is incredibly slow when i log in and finally does not allow me to access any reports.

can it be the issue with any maintenance or my access rights or rather i should try to access bex using different way?

below the print screen from what i see after log in:
[cid:image001.png@01d2310c.f184b360]

i am also able to get to finance reports (see below), however when i click ""profitability analysis"" (as i was always doing) separate window is open however apart rom that the screen is blank.
[cid:image002.png@01d2310c.f184b360]


i appreciate your support.

have a great day

robhyertyj


yfqoaepn xnezhsit
managing director
finance manager cee
yfqoaepn.xnezhsit@gmail.com<mailto:yfqoaepn.xnezhsit@gmail.com>
tel:+48(61)7767671
mob:+48 694 425 760

company polska sp. z o.o. , ul. krzywoustego 7, 61-144 poznań, www.company.com<

company Polska sp.z o.o. with its registered office in Poland, 61-144 Poznań, ul. wry face 7.
company registered in the district court of Poznań-Nowe Miasto and Wilda in Poland, Department VIII Economic of KRS under number 1111286691.
share capital PLN 100,000, NIP 954-20-87-982.",yfqoaepn xnezhsit,GRP_0
windows account lockout,windows account lockout,kcipjago mlkptgvb,GRP_0
Withdrawn: ticket_no1564867 - comments added,"received from: abcdri@company.com

windy shi will recall message ""ticket_no1564867 - comments added"".


This message is for the designated recipient to use, which may contain privileged under applicable law, confidentiality and non-disclosure of content. In addition to the designated recipient, any other person is strictly prohibited dissemination, distribution or copying of this message. If you receive this message by mistake, please notify the sender and delete the message.
[
select the following link to view the disclaimer in an alternate language.",tycludks cjofwigv,GRP_0
account locked in erp SID_34,account locked in erp SID_34,uvwphrbl hfqdumtv,GRP_0
job Job_593 failed in job_scheduler at: 10/28/2016 04:11:00,"received from: monitoring_tool@company.com

job Job_593 failed in job_scheduler at: 10/28/2016 04:11:00",bpctwhsn kzqsbmtp,GRP_8
user needs training to use engineering tool to view drawings.,"user needs training to use engineering tool to view drawings.
-connected to the user system using teamviewer.
-help and educated the user on how login to business_client and view drawings.
-issue resolved.",rkzqjbwc juizkwpl,GRP_0
skype not working,"received from: rhwvpmlq.zuwhpqrc@gmail.com

hello,

i am unable to access the skype . the password is showing error .



[cid:image001.png@01d2311d.d4c2e240]",rhwvpmlq zuwhpqrc,GRP_0
account unlock request.,account unlock request.,lvxakohq tsfnhowj,GRP_0
[urgent!!] delivery note creation request!!,"received from: fbvpcytz.nokypgvx@gmail.com

hello it team,

could you please generate delivery note for below order?
we cannot issue dn for so#36199966 despite of enough stock for all of items at shipping plant…

sales org : 500000
delivery plant : plant_317
shipping point : tys12456

so#36199966
mm#6784736         1pc
mm#7415645         10pcs
mm#7415646         10pcs

[cid:image002.jpg@01d23138.6a0c5b50]",fbvpcytz nokypgvx,GRP_18
job Job_495 failed in job_scheduler at: 10/28/2016 03:12:00,"received from: monitoring_tool@company.com

job Job_495 failed in job_scheduler at: 10/28/2016 03:12:00",bpctwhsn kzqsbmtp,GRP_8
job Job_481 failed in job_scheduler at: 10/28/2016 02:51:00,"received from: monitoring_tool@company.com

job Job_481 failed in job_scheduler at: 10/28/2016 02:51:00",bpctwhsn kzqsbmtp,GRP_8
error login on to the SID_34 system.,error login on to the SID_34 system.,woaiypxu dxslkbif,GRP_0
unable to take print out from wy4678,unable to take print out from wy4678,ewiakvmz tufwrhaj,GRP_19
job Job_487 failed in job_scheduler at: 10/28/2016 02:06:00,"received from: monitoring_tool@company.com

job Job_487 failed in job_scheduler at: 10/28/2016 02:06:00",bpctwhsn kzqsbmtp,GRP_12
unlock supply_chain_software account,"received from: fgehvwxb.ckxegsqv@gmail.com

hi there,

would you please help me unlock my supply_chain_software account and reset my supply_chain_software password?",fgehvwxb ckxegsqv,GRP_0
unable to access password_management_tool id password manager ijeqpkrz nwtehsyx grauw,"i try to change now my password acc. to attached e-mail but this don´t work. i was out of office for vacation time until now, but
password_management_tool link don´t work - please help



your password expires in 13 day(s) 

the requirement to change your password every 90 days enhances data security within company. 

please login to 
a step-by-step guide on using the self-service tool is available here: 

please do not reply to this email. if you require assistance, please submit a ticket to the global support center via any of these modes: 

ticketing_tool: 
email: help@company.com 

kind",ijeqpkrz nwtehsyx,GRP_2
job HostName_957fail failed in job_scheduler at: 10/28/2016 02:03:00,"received from: monitoring_tool@company.com

job HostName_957fail failed in job_scheduler at: 10/28/2016 02:03:00",bpctwhsn kzqsbmtp,GRP_5
unable to login to erp SID_34,unable to login to erp SID_34,bioanvcz zgfiahyo,GRP_0
crm license for user dfgry,"from: xdvwitpm zscxqdhoalaramdntyan 
sent: friday, october 28, 2016 9:40 am
to: 'help@company.com'
cc: xyculgav cuqptoah
subject: fw: crm license for dfgry

hello,

crm is not installed in my laptop.

please support me on this.",xdvwitpm zscxqdho,GRP_19
unable to connect to vpn,unable to connect to vpn,aljbtwsh lepkbgix,GRP_19
job Job_1854 failed in job_scheduler at: 10/28/2016 01:36:00,"received from: monitoring_tool@company.com

job Job_1854 failed in job_scheduler at: 10/28/2016 01:36:00",bpctwhsn kzqsbmtp,GRP_8
windows account locked,windows account locked,lvxakohq tsfnhowj,GRP_0
apply for mobile phone access to mail box,apply for mobile phone access to mail box,hygiajzb ajvmhbsr,GRP_0
data not correctly pulled for all the employees in the travel_tool attendee interface.,data not correctly pulled for all the employees in the travel_tool attendee interface.,rdfjsawg zpmxgdcw,GRP_20
Qingdao-the Electrical and Mechanical mail shipment notification settings,"from:
sent: friday, october 28, 2016 7:20 am
to: nwfodmhc exurcwkm
subject: re: Qingdao Xing Electrical and Mechanical mail shipment notification settings

dear,
pls help to update customer 4563729890 shipment notification email address: abcdegy@gmail.com


b.",yafxlpwi lhxvatkb,GRP_18
to recover folder that by mistake copied to x:\ drive,i want recover folder,pbtauqyx civyxdkl,GRP_0
job bkwin_HostName_770_inc failed in job_scheduler at: 10/27/2016 22:08:00,"received from: monitoring_tool@company.com

job bkwin_HostName_770_inc failed in job_scheduler at: 10/27/2016 22:08:00",bpctwhsn kzqsbmtp,GRP_8
network outage: india: site hard down since at 8:34 pm et on 10/27. no backup circuit.,"what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______8:34 pm et on 10/27______________

3.  scheduled maintenance ( power) ? __no_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  _no_____    (yes/no/na) 

6. backup circuit active ?   _____na___     (yes/no/na) 

7. site contact notified (phone/email) ?  ___na______     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ______na_____    (yes/no/na) 

10. verified site working on backup circuit ?  _na______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ____na____     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",mnlazfsr mtqrkhnx,GRP_8
password reset request,password reset request,nyscufdq wjtcsahz,GRP_0
user is not able to see all text in mails on his iphone,user is not able to see all text in mails on his iphone,yaxrnmsz bultagqx,GRP_0
password reset,password reset,ptaerwvk ibvpucyn,GRP_0
unable to sync all mails in outlook on wifi,unable to sync all mails in outlook on wifi,vzrbocfl wxtpoyez,GRP_0
crm tab does not appear on outlook,crm tab does not appear on outlook,lrbjqcmh jbiwtzqr,GRP_0
unable to submit expense report as it is locked by user,unable to submit expense report as it is locked by user,pvbomqht smfkuhwi,GRP_0
titcket update on inplant_874008,titcket update on inplant_874008,fumkcsji sarmtlhy,GRP_0
i need to approve the new product requests below,i need to approve the new product requests below,uyrpdvoq mbzevtcx,GRP_21
ticket update on inplant_873870,ticket update on inplant_873870,fumkcsji sarmtlhy,GRP_0
changed desktop wallpaper,changed desktop wallpaper,aqdjcuhn lagfitkz,GRP_0
unable to open website,"name:xbdht yrjhd
language:
browser:microsoft internet explorer
email:aqjdvexo.lmedazjo@gmail.com
customer number:
summary: benefit advisor will not run in my browser.",aqjdvexo lmedazjo,GRP_0
msd crm,assign crm and e4 license to nyrjkctu tbhkenlo-  use profile like qmglkaru qiwhfkdv.,qmglkaru qiwhfkdv,GRP_22
sound,"received from: udetjzmn.ayueswcm@gmail.com

good afternoon

i am having issues again with my notebook in that i cannot get any sound and cannot participate in skype calls.",udetjzmn ayueswcm,GRP_0
need the username to submit the insurance,need the username to submit the insurance,kamtroxv oequfsky,GRP_0
query on external browser,query on external browser,crkdjbot qiztrxne,GRP_0
unable to access benefits and other apps in hr_tool one time,unable to access benefits and other apps in hr_tool one time. access denied.,batsxwnl ashkzvnr,GRP_2
unable to see the current course in ethics,"unable to see the current course in ethics

user id - bdtryh3456",ajgnibkx zixmcjgu,GRP_23
user clicked on driver update manually and then after restarting the machine he's receivng a error,user clicked on driver update manually and then after restarting the machine he received an error stating pnp_detected_fatal_error,nyscufdq wjtcsahz,GRP_0
erp SID_37 account unlock,erp SID_37 account unlock,mfeyouli ndobtzpw,GRP_0
windows password reset,windows password reset,gtxuamif pamxszek,GRP_0
telephone number update,telephone number update,ufpkvlyn bozthrie,GRP_0
insurance information,insurance information,gxvhauic zogmauli,GRP_0
please give chrtyad345 access to reporting_tool ltaballotcsalesemp  and map him to thrdy tgyu team as an ae in the virtual table,please give chrtyad345 access to reporting_tool ltaballotcsalesemp  and map him to thrdy tgyu team as an ae in the virtual table,icqleypr kneoblzd,GRP_2
loud noise // gso,loud noise // gso,rbozivdq gmlhrtvp,GRP_0
ess kiosk user password reset,ess kiosk user password reset,rbozivdq gmlhrtvp,GRP_0
network outage  - warehouse: node company-ups-vpn-rtr is down 10/27/2016 9:54 am,"what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   _______10/27/2016 9:54 am______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___no___    (yes/no/na) 

6. backup circuit active ?   ___no_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",jyoqwxhz clhxsoqy,GRP_8
